id,user_id,order_date,status
1.0,1.0,2018-01-01,returned
2.0,3.0,2018-01-02,completed
3.0,94.0,2018-01-04,completed
4.0,50.0,2018-01-05,completed
5.0,64.0,2018-01-05,returned
6.0,54.0,2018-01-07,completed
7.0,88.0,2018-01-09,completed
8.0,2.0,2018-01-11,returned
9.0,53.0,2018-01-12,completed
10.0,7.0,2018-01-14,completed
11.0,99.0,2018-01-14,completed
12.0,59.0,2018-01-15,returned
13.0,84.0,2018-01-17,returned
14.0,40.0,2018-01-17,returned
15.0,25.0,2018-01-17,completed
16.0,39.0,2018-01-18,completed
17.0,71.0,2018-01-18,returned
18.0,64.0,2018-01-20,returned
19.0,54.0,2018-01-22,completed
20.0,20.0,2018-01-23,completed
21.0,71.0,2018-01-23,completed
22.0,86.0,2018-01-24,completed
23.0,22.0,2018-01-26,return_pending
24.0,3.0,2018-01-27,returned
25.0,51.0,2018-01-28,completed
26.0,32.0,2018-01-28,completed
27.0,94.0,2018-01-29,completed
28.0,8.0,2018-01-29,returned
29.0,57.0,2018-01-31,completed
30.0,69.0,2018-02-02,completed
31.0,16.0,2018-02-02,completed
32.0,28.0,2018-02-04,completed
33.0,42.0,2018-02-04,completed
34.0,38.0,2018-02-06,completed
35.0,80.0,2018-02-08,completed
36.0,85.0,2018-02-10,completed
37.0,1.0,2018-02-10,completed
38.0,51.0,2018-02-10,returned
39.0,26.0,2018-02-11,completed
40.0,33.0,2018-02-13,completed
41.0,99.0,2018-02-14,returned
42.0,92.0,2018-02-16,completed
43.0,31.0,2018-02-17,completed
44.0,66.0,2018-02-17,completed
45.0,22.0,2018-02-17,completed
46.0,6.0,2018-02-19,completed
47.0,50.0,2018-02-20,completed
48.0,27.0,2018-02-21,returned
49.0,35.0,2018-02-21,completed
50.0,51.0,2018-02-23,returned
51.0,71.0,2018-02-24,completed
52.0,54.0,2018-02-25,return_pending
53.0,34.0,2018-02-26,completed
54.0,54.0,2018-02-26,completed
55.0,18.0,2018-02-27,completed
56.0,79.0,2018-02-28,completed
57.0,93.0,2018-03-01,completed
58.0,22.0,2018-03-01,completed
59.0,30.0,2018-03-02,returned
60.0,12.0,2018-03-03,returned
61.0,63.0,2018-03-03,returned
62.0,57.0,2018-03-05,completed
63.0,70.0,2018-03-06,returned
64.0,13.0,2018-03-07,returned
65.0,26.0,2018-03-08,completed
66.0,36.0,2018-03-10,completed
67.0,79.0,2018-03-11,returned
68.0,53.0,2018-03-11,returned
69.0,3.0,2018-03-11,completed
70.0,8.0,2018-03-12,completed
71.0,42.0,2018-03-12,returned
72.0,30.0,2018-03-14,shipped
73.0,19.0,2018-03-16,completed
74.0,9.0,2018-03-17,shipped
75.0,69.0,2018-03-18,completed
76.0,25.0,2018-03-20,completed
77.0,35.0,2018-03-21,shipped
78.0,90.0,2018-03-23,returned
79.0,52.0,2018-03-23,shipped
80.0,11.0,2018-03-23,shipped
81.0,76.0,2018-03-23,returned
82.0,46.0,2018-03-24,returned
83.0,54.0,2018-03-24,shipped
84.0,70.0,2018-03-26,placed
85.0,47.0,2018-03-26,shipped
86.0,68.0,2018-03-26,returned
87.0,46.0,2018-03-27,returned
88.0,91.0,2018-03-27,returned
89.0,21.0,2018-03-28,returned
90.0,66.0,2018-03-30,returned
91.0,47.0,2018-03-31,placed
92.0,84.0,2018-04-02,placed
93.0,66.0,2018-04-03,placed
94.0,63.0,2018-04-03,placed
95.0,27.0,2018-04-04,returned
96.0,90.0,2018-04-06,placed
97.0,89.0,2018-04-07,returned
98.0,41.0,2018-04-07,placed
99.0,85.0,2018-04-09,returned
